"OccupID","Occupation"
1,"Minister and Poet"
2,"Poet"
3,"Educator and Minister"
4,"Poet and Diplomat"
5,"Philosopher"
6,"Author and Lexicographer"
7,"Poet, Playwright, Critic"
8,"Diplomat and Author"
9,"Clergyman"
10,"Writer"
11,"Poet and Politician"
12,"Writer and Politician"
13,"Physician and Natural Philosopher"
14,"Engraver, Artist, and Poet"
15,"Poet and Historian"
16,"Poet and Essayist"
17,"Musician and Composer"
18,"Theologian and Natural Philosopher"
19,"Author and Physician"
20,"Theologian and Philosopher"
21,"Author and Magistrate"
22,"Translator"
23,"Theologian"
24,"Writer and Soldier"
25,"Author and Courtier"
26,"Natural Philosopher"
27,"Mathematician"
28,"Physician"
29,"Poet and Playwright"
30,"Author and Classical Scholar"
31,"Writer and Translator"
32,"Courtier"
33,"Playwright"
34,"Clergyman and Writer"
35,"Printer and Writer"
36,"Poet and Painter"
37,"Soldier and Politician"
38,"Actor and Playwright"
39,"Experimental Philosopher and Politician"
40,"Clergyman and Philosopher"
41,"Playwright and Novelist"
42,"Schoolmaster and Author"
43,"Playwright and Architect"
44,"Political Philosopher"
45,"Playwright and Philosopher"
46,"Educator and Writer"
47,"Actor and Author"
48,"Clergyman and Educator"
49,"Minister"
50,"Biologist"
